iter	Passed	Remaining
627	45454	26925
628	45531	26855
629	45612	26788
630	45690	26719
631	45758	26643
632	45825	26568
633	45896	26495
634	45974	26426
635	46055	26358
636	46127	26285
637	46208	26218
638	46277	26144
639	46339	26066
640	46425	26000
641	46507	25934
642	46591	25868
643	46661	25794
644	46733	25721
645	46807	25649
646	46891	25583
647	46966	25512
648	47034	25438
649	47120	25372
650	47190	25298
651	47268	25228
652	47343	25157
653	47410	25082
654	47471	25003
655	47543	24931
656	47626	24864
657	47703	24794
658	47782	24725
659	47858	24654
660	47938	24585
661	48015	24515
662	48096	24447
663	48183	24381
664	48254	24308
665	48330	24237
666	48402	24164
667	48466	24088
668	48547	24019
669	48620	23947
670	48696	23876
671	48781	23810
672	48850	23735
673	48929	23666
674	49005	23595
675	49085	23526
676	49162	23455
677	49249	23389
678	49327	23319
679	49400	23247
680	49474	23175
681	49550	23104
682	49618	23029
683	49686	22954
684	49765	22884
685	49849	22817
686	49930	22748
687	50005	22676
688	50087	22608
689	50167	22538
690	50232	22462
691	50303	22389
692	50380	22318
693	50456	22247
694	50525	22173
695	50597	22100
696	50659	22022
697	50721	21945
698	50797	21873
699	50871	21802
700	50939	21727
701	51001	21650
702	51067	21574
703	51136	21500
704	51200	21424
705	51263	21347
706	51339	21276
707	51407	21201
708	51482	21130
709	51553	21057
710	51631	20986
711	51704	20914
712	51766	20837
713	51839	20764
714	51906	20689
715	51979	20617
716	52046	20542
717	52133	20476
718	52221	20409
719	52295	20336
720	52370	20265
721	52445	20193
722	52523	20123
723	52602	20052
724	52675	19980
725	52742	19905
726	52825	19836
727	52892	19762
728	52976	19693
729	53044	19619
730	53122	19548
731	53186	19472
732	53262	19401
733	53335	19328
734	53405	19254
735	53472	19180
736	53551	19109
737	53635	19041
738	53712	18970
739	53796	18901
740	53862	18826
741	53939	18755
742	54017	18684
743	54080	18608
744	54147	18533
745	54230	18464
746	54304	18392
747	54379	18320
748	54455	18248
749	54528	18176
750	54599	18102
751	54668	18028
752	54760	17962
753	54832	17889
754	54934	17826
755	55009	17754
756	55086	17682
757	55158	17609
758	55235	17538
759	55312	17467
760	55395	17397
761	55468	17324
762	55552	17255
763	55629	17183
764	55699	17110
765	55783	17040
766	55848	16965
767	55923	16893
768	55992	16819
769	56066	16747
770	56136	16673
771	56210	16600
772	56279	16527
773	56343	16451
774	56419	16379
775	56504	16310
776	56579	16238
777	56645	16163
778	56720	16091
779	56808	16022
780	56883	15950
781	56953	15876
782	57032	15805
783	57097	15731
784	57185	15662
785	57267	15591
786	57337	15518
787	57416	15446
788	57487	15373
789	57555	15299
790	57628	15226
791	57696	15152
792	57766	15079
793	57835	15005
794	57904	14931
795	57963	14854
796	58023	14778
797	58103	14707
798	58184	14637
799	58259	14564
800	58333	14492
801	58396	14417
802	58471	14344
